"ensembl_gene_id"	"entrezgene_id"	"hgnc_symbol"	"gene_biotype"
"ENSG00000275035"	80212	"CCDC92"	"protein_coding"
"ENSG00000276295"	NA	""	"misc_RNA"
"ENSG00000275531"	NA	""	"misc_RNA"
"ENSG00000276035"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000276001"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000277193"	3808	"KIR2DS3"	"protein_coding"
"ENSG00000277176"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000275289"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000276392"	57292	"KIR2DL5A"	"protein_coding"
"ENSG00000277650"	3808	"KIR2DS3"	"protein_coding"
"ENSG00000277964"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000274851"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000276329"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000262845"	125115	"KRT40"	"protein_coding"
"ENSG00000276212"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000273661"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000273688"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000273881"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000274830"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000274826"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000274271"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000276099"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000277940"	NA	""	"unprocessed_pseudogene"
"ENSG00000277570"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000274676"	57292	"KIR2DL5A"	"protein_coding"
"ENSG00000273578"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000276306"	NA	""	"unprocessed_pseudogene"
"ENSG00000278369"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000274955"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000276004"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000275699"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000276498"	3813	"KIR3DS1"	"protein_coding"
"ENSG00000262808"	81851	"KRTAP1-1"	"protein_coding"
"ENSG00000262731"	728279	""	"protein_coding"
"ENSG00000274707"	553128	"KIR2DL5B"	"protein_coding"
"ENSG00000274193"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000263229"	653240	"KRTAP4-11"	"protein_coding"
"ENSG00000262487"	NA	""	"lncRNA"
"ENSG00000262376"	NA	"KRTAP2-5P"	"unprocessed_pseudogene"
"ENSG00000262347"	81850	"KRTAP1-3"	"protein_coding"
"ENSG00000262520"	NA	"KRTAP4-16"	"protein_coding"
"ENSG00000275008"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000263243"	3859	"KRT12"	"protein_coding"
"ENSG00000281954"	NA	""	"lncRNA"
"ENSG00000275599"	3808	"KIR2DS3"	"protein_coding"
"ENSG00000274402"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000261862"	83895	"KRTAP1-5"	"protein_coding"
"ENSG00000262164"	390792	"KRT39"	"protein_coding"
"ENSG00000276247"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000274283"	3813	"KIR3DS1"	"protein_coding"
"ENSG00000275255"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000273528"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000276086"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000274243"	3810	"KIR2DS5"	"protein_coding"
"ENSG00000275521"	9437	"NCR1"	"protein_coding"
"ENSG00000275486"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000278414"	553128	"KIR2DL5B"	"protein_coding"
"ENSG00000278474"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000273502"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000262616"	NA	"KRTAP3-4P"	"unprocessed_pseudogene"
"ENSG00000261852"	81872	"KRTAP2-1"	"protein_coding"
"ENSG00000276590"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000274480"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000263101"	85293	"KRTAP3-3"	"protein_coding"
"ENSG00000275750"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000278710"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000262862"	730755	"KRTAP2-3"	"protein_coding"
"ENSG00000263236"	83755	"KRTAP4-12"	"protein_coding"
"ENSG00000263242"	728255	"KRTAP1-4"	"protein_coding"
"ENSG00000266286"	100996750	""	"protein_coding"
"ENSG00000261968"	728224	""	"protein_coding"
"ENSG00000274724"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000273603"	3806	"KIR2DS1"	"protein_coding"
"ENSG00000275596"	57292	"KIR2DL5A"	"protein_coding"
"ENSG00000278360"	NA	""	"unprocessed_pseudogene"
"ENSG00000276139"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000273922"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000274788"	79166	"LILRP2"	"transcribed_unprocessed_pseudogene"
"ENSG00000276806"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000281738"	NA	"LINC01839"	"lncRNA"
"ENSG00000281250"	105374250	"LINC02054"	"lncRNA"
"ENSG00000275452"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000275608"	3813	"KIR3DS1"	"protein_coding"
"ENSG00000276218"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000277362"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000278442"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000278758"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000275253"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000275626"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000274146"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000277742"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000282469"	64735	"LINC00254"	"lncRNA"
"ENSG00000275938"	3809	"KIR2DS4"	"unprocessed_pseudogene"
"ENSG00000276333"	64711	"HS3ST6"	"protein_coding"
"ENSG00000277963"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000278339"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000277317"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000282650"	254528	"MEIOB"	"lncRNA"
"ENSG00000276974"	NA	""	"unprocessed_pseudogene"
"ENSG00000278325"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000278079"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000276930"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000282069"	105371048	"LINC02124"	"lncRNA"
"ENSG00000274556"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000277551"	NA	""	"snRNA"
"ENSG00000275795"	NA	""	"unprocessed_pseudogene"
"ENSG00000275937"	553128	"KIR2DL5B"	"protein_coding"
"ENSG00000277885"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000275083"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000276011"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000277552"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000275815"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000278327"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000273517"	3806	"KIR2DS1"	"protein_coding"
"ENSG00000275136"	2204	"FCAR"	"protein_coding"
"ENSG00000277596"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000275262"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000275059"	NA	""	"unprocessed_pseudogene"
"ENSG00000273887"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000277271"	79166	""	"transcribed_unprocessed_pseudogene"
"ENSG00000274563"	3810	"KIR2DS5"	"protein_coding"
"ENSG00000276450"	9437	"NCR1"	"protein_coding"
"ENSG00000275247"	NA	""	"unprocessed_pseudogene"
"ENSG00000276552"	NA	""	"snRNA"
"ENSG00000277729"	NA	""	"unprocessed_pseudogene"
"ENSG00000278304"	3806	"KIR2DS1"	"protein_coding"
"ENSG00000274106"	NA	""	"unprocessed_pseudogene"
"ENSG00000275970"	2204	"FCAR"	"protein_coding"
"ENSG00000275288"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000277976"	NA	"KRT18P40"	"unprocessed_pseudogene"
"ENSG00000279974"	NA	""	"lncRNA"
"ENSG00000278329"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000273794"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000278780"	80264	"ZNF430"	"protein_coding"
"ENSG00000282429"	NA	""	"processed_pseudogene"
"ENSG00000274108"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000276686"	57292	"KIR2DL5A"	"protein_coding"
"ENSG00000277356"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000281486"	54221	"SNTG2"	"protein_coding"
"ENSG00000280271"	NA	""	"lncRNA"
"ENSG00000279566"	7594	"ZNF43"	"protein_coding"
"ENSG00000278201"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000274912"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000279614"	NA	""	"processed_pseudogene"
"ENSG00000276395"	3809	"KIR2DS4"	"protein_coding"
"ENSG00000274746"	163227	"ZNF100"	"protein_coding"
"ENSG00000282534"	NA	"IMPDH1P5"	"processed_pseudogene"
"ENSG00000280830"	55256	"ADI1"	"protein_coding"
"ENSG00000274429"	9231	"DLG5"	"protein_coding"
"ENSG00000280579"	NA	""	"lncRNA"
"ENSG00000276310"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000274891"	51112	"TRAPPC12"	"protein_coding"
"ENSG00000278025"	9437	"NCR1"	"protein_coding"
"ENSG00000280708"	NA	""	"lncRNA"
"ENSG00000281416"	NA	""	"lncRNA"
"ENSG00000275974"	728945	"PPIAL4F"	"protein_coding"
"ENSG00000280460"	NA	""	"TEC"
"ENSG00000274786"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000274449"	NA	""	"lncRNA"
"ENSG00000279280"	641367	"CCNYL6"	"processed_pseudogene"
"ENSG00000274708"	NA	""	"snRNA"
"ENSG00000279318"	NA	""	"TEC"
"ENSG00000274574"	NA	""	"snRNA"
"ENSG00000276999"	NA	""	"unprocessed_pseudogene"
"ENSG00000273990"	NA	"RNVU1-26"	"snRNA"
"ENSG00000273757"	6063	"RNVU1-2A"	"snRNA"
"ENSG00000279112"	641367	"BRI3BPP1"	"transcribed_processed_pseudogene"
"ENSG00000278091"	7639	"ZNF85"	"protein_coding"
"ENSG00000280218"	NA	"VN1R84P"	"unprocessed_pseudogene"
"ENSG00000280066"	NA	"MTDHP4"	"processed_pseudogene"
"ENSG00000280770"	NA	""	"lncRNA"
"ENSG00000281723"	NA	""	"lncRNA"
"ENSG00000274465"	3813	"KIR3DS1"	"protein_coding"
"ENSG00000274610"	NA	"KIR3DP1"	"protein_coding"
"ENSG00000277750"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000278271"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000278755"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000275051"	9271	"PIWIL1"	"protein_coding"
"ENSG00000275269"	2204	"FCAR"	"protein_coding"
"ENSG00000276808"	NA	""	"unprocessed_pseudogene"
"ENSG00000278190"	NA	""	"snRNA"
"ENSG00000273498"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000276324"	NA	""	"unprocessed_pseudogene"
"ENSG00000277240"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000273955"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000274947"	3809	"KIR2DS4"	"protein_coding"
"ENSG00000277153"	NA	"RNU6-222P"	"snRNA"
"ENSG00000281020"	54221	"SNTG2"	"protein_coding"
"ENSG00000275021"	NA	""	"snRNA"
"ENSG00000276243"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000262647"	283189	"OR9G4"	"protein_coding"
"ENSG00000281107"	NA	"OR5G3"	"polymorphic_pseudogene"
"ENSG00000262268"	NA	"OR9G3P"	"unprocessed_pseudogene"
"ENSG00000281313"	NA	"OR5G1P"	"unprocessed_pseudogene"
"ENSG00000274082"	NA	""	"unprocessed_pseudogene"
"ENSG00000275168"	NA	""	"snRNA"
"ENSG00000281279"	NA	"OR5G4P"	"unprocessed_pseudogene"
"ENSG00000275321"	NA	""	"unprocessed_pseudogene"
"ENSG00000262535"	NA	"OR5G5P"	"transcribed_unprocessed_pseudogene"
"ENSG00000280428"	NA	"BNIP3P24"	"processed_pseudogene"
"ENSG00000280030"	NA	""	"lncRNA"
"ENSG00000275050"	7617	"ZNF66"	"protein_coding"
"ENSG00000281777"	NA	"OR9G2P"	"unprocessed_pseudogene"
"ENSG00000277630"	100288966	""	"protein_coding"
"ENSG00000261958"	390174	"OR9G1"	"protein_coding"
"ENSG00000281683"	NA	""	"processed_pseudogene"
"ENSG00000262191"	504191	"OR9G9"	"protein_coding"
"ENSG00000281839"	101927120	"LINC02735"	"lncRNA"
"ENSG00000276197"	NA	""	"misc_RNA"
"ENSG00000274917"	100008587	"RNA5-8SN5"	"rRNA"
"ENSG00000273730"	NA	""	"rRNA"
"ENSG00000274545"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000273522"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000273937"	NA	""	"misc_RNA"
"ENSG00000278490"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000278726"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000277603"	7173	"TPO"	"protein_coding"
"ENSG00000267728"	81870	""	"protein_coding"
"ENSG00000263090"	83899	"KRTAP9-2"	"protein_coding"
"ENSG00000278573"	NA	""	"pseudogene"
"ENSG00000277560"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000276465"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000275416"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000278625"	NA	""	"snRNA"
"ENSG00000277196"	102724788	""	"protein_coding"
"ENSG00000277392"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000278230"	NA	""	"snRNA"
"ENSG00000276512"	79166	""	"transcribed_unprocessed_pseudogene"
"ENSG00000262512"	85280	"KRTAP9-4"	"protein_coding"
"ENSG00000262749"	83900	"KRTAP9-3"	"protein_coding"
"ENSG00000281651"	NA	"KCNQ2-AS1"	"lncRNA"
"ENSG00000263103"	NA	"KRTAP9-10P"	"unprocessed_pseudogene"
"ENSG00000274254"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000281151"	3785	"KCNQ2"	"protein_coding"
"ENSG00000267635"	100507608	""	"protein_coding"
"ENSG00000267208"	NA	""	"unprocessed_pseudogene"
"ENSG00000262218"	100533177	"KRTAP29-1"	"protein_coding"
"ENSG00000278793"	NA	""	"snRNA"
"ENSG00000276882"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000262573"	83899	"KRTAP9-2"	"protein_coding"
"ENSG00000263115"	NA	"KRTAP9-10P"	"unprocessed_pseudogene"
"ENSG00000262896"	85280	"KRTAP9-4"	"protein_coding"
"ENSG00000263263"	100507608	"KRTAP9-6"	"protein_coding"
"ENSG00000278833"	NA	""	"transcribed_processed_pseudogene"
"ENSG00000275629"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000262221"	100505724	"KRTAP9-7"	"protein_coding"
"ENSG00000277850"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000277076"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000262542"	100533177	"KRTAP29-1"	"protein_coding"
"ENSG00000262214"	NA	"KRTAP9-12P"	"unprocessed_pseudogene"
"ENSG00000262946"	NA	"KRTAP9-11P"	"unprocessed_pseudogene"
"ENSG00000262594"	81870	"KRTAP9-9"	"protein_coding"
"ENSG00000278277"	NA	""	"protein_coding"
"ENSG00000281062"	NA	""	"transcribed_unprocessed_pseudogene"
"ENSG00000276994"	NA	""	"unprocessed_pseudogene"
"ENSG00000278692"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000278817"	102724770	""	"protein_coding"
"ENSG00000281775"	10841	"FTCD"	"protein_coding"
"ENSG00000275735"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000273546"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000281496"	NA	""	"unprocessed_pseudogene"
"ENSG00000275782"	NA	""	"snRNA"
"ENSG00000278368"	3811	"KIR3DL1"	"protein_coding"
